"age","care_focus","need_interval","provision_interval"
0,"daily_living",720,0
0,"developmental",420,0
0,"health",300,0
1,"daily_living",720,0
1,"developmental",420,0
1,"health",300,0
2,"daily_living",720,0
2,"developmental",420,0
2,"health",300,0
3,"daily_living",720,0
3,"developmental",420,0
3,"health",300,0
4,"daily_living",720,0
4,"developmental",420,0
4,"health",300,0
5,"daily_living",720,0
5,"developmental",420,0
5,"health",300,0
6,"daily_living",810,0
6,"developmental",480,0
6,"health",150,0
7,"daily_living",810,0
7,"developmental",480,0
7,"health",150,0
8,"daily_living",810,0
8,"developmental",480,0
8,"health",150,0
9,"daily_living",810,0
9,"developmental",480,0
9,"health",150,0
10,"daily_living",810,0
10,"developmental",480,0
10,"health",150,0
11,"daily_living",810,0
11,"developmental",480,0
11,"health",150,0
12,"daily_living",810,0
12,"developmental",480,0
12,"health",150,0
13,"daily_living",800.450955613132,0
13,"developmental",422.523991962954,0
13,"health",112.838649867007,0
14,"daily_living",784.200925821234,1.80408262842452
14,"developmental",399.84380351342,0
14,"health",105.011777802269,0
15,"daily_living",760.175718166091,10.5157620940359
15,"developmental",372.444837688231,0
15,"health",97.9271240644421,0
16,"daily_living",708.19450059697,20.0334065304344
16,"developmental",334.104059729573,21.2051207201059
16,"health",92.9974329232658,4.30673175179614
17,"daily_living",603.844119581601,31.993268250482
17,"developmental",275.215515334219,63.2709665803479
17,"health",93.5419824738679,18.74770944439
18,"daily_living",468.860607075296,47.4663479023034
18,"developmental",204.457218512161,120.769030811529
18,"health",97.4217852816143,38.8256936859024
19,"daily_living",352.286909258697,64.2966461496559
19,"developmental",143.032086975408,185.978927995011
19,"health",97.8621873216031,62.4301535813573
20,"daily_living",234.106846020368,80.3281636562966
20,"developmental",79.3601940314792,251.180272712157
20,"health",91.9937857131609,87.4505582357788
21,"daily_living",127.391419023403,93.4049010859829
21,"developmental",21.9825949427655,308.652679544331
21,"health",84.9678679271515,111.776376754191
22,"daily_living",83.0327918149228,104.821723300836
22,"developmental",0,370.874380978801
22,"health",76.056785789191,143.669884906065
23,"daily_living",83.0327918149228,116.159817003009
23,"developmental",0,441.244091811669
23,"health",64.689507210259,182.171855718146
24,"daily_living",83.0327918149228,125.692665616308
24,"developmental",0,498.422150087548
24,"health",56.3573378208045,211.339504181372
25,"daily_living",83.0327918149228,131.161207010533
25,"developmental",0,539.48719215593
25,"health",53.1348230392213,230.942944543686
26,"daily_living",83.0327918149228,133.811352567981
26,"developmental",0,575.120486290268
26,"health",52.4462663458422,249.053799337644
27,"daily_living",94.2497509813958,137.17404598121
27,"developmental",0,604.386318421118
27,"health",52.8076104640247,262.181545981099
28,"daily_living",97.0060891810792,141.814083772788
28,"developmental",0,624.136619017856
28,"health",54.6465117420815,267.23458961407
29,"daily_living",100.15811864654,146.016911416127
29,"developmental",0,634.113708833726
29,"health",58.0462892887684,265.262215068834
30,"daily_living",102.690945792773,149.894446030047
30,"developmental",0,637.717459225082
30,"health",61.0063799681069,258.985219301635
31,"daily_living",104.477517890023,153.558604733366
31,"developmental",0,638.34774154828
31,"health",63.0752213262164,251.124399268718
32,"daily_living",105.911002316078,157.121304644902
32,"developmental",0,639.404427159677
32,"health",65.2240511861449,244.400551926328
33,"daily_living",106.455745838723,160.49055084262
33,"developmental",0,640.340313627758
33,"health",67.6256576859156,237.426704317879
34,"daily_living",106.341159151223,163.489912573323
34,"developmental",0,638.418464857335
34,"health",70.2186764916092,228.062296448454
35,"daily_living",106.480274718119,166.104653209084
35,"developmental",0,633.754151709257
35,"health",72.7855161747256,217.897744716798
36,"daily_living",106.851949465005,168.320036121975
36,"developmental",0,626.462645044374
36,"health",76.312106113172,208.523465521657
37,"daily_living",107.380367693183,170.121324684072
37,"developmental",0,616.659215723534
37,"health",79.3728161018357,201.529875261776
38,"daily_living",108.61917628961,171.343638192633
38,"developmental",0,602.66649364128
38,"health",81.1440906776983,196.538635723629
39,"daily_living",110.203289873569,171.989813175501
39,"developmental",0,584.038848789339
39,"health",82.5178824112566,192.020190324373
40,"daily_living",111.585633571643,172.296688850624
40,"developmental",0,562.73916217434
40,"health",82.2325225497542,187.838127908777
41,"daily_living",112.670052288665,172.501104435952
41,"developmental",0,540.73031480291
41,"health",79.111674086954,183.856037321608
42,"daily_living",113.707189904928,172.839899149432
42,"developmental",0,519.975187681677
42,"health",74.8580449411354,179.937507407636
43,"daily_living",114.565353561975,173.373871942769
43,"developmental",0,498.076352522835
43,"health",68.9259045238997,177.616823017571
44,"daily_living",115.315600542336,173.865714609795
44,"developmental",0,474.153794326868
44,"health",61.2579560800634,176.71027285421
45,"daily_living",116.235179647269,174.105105631651
45,"developmental",0,452.446514032838
45,"health",55.6437489934673,174.504451540451
46,"daily_living",117.47514190379,174.175353418317
46,"developmental",0,432.062955414621
46,"health",52.8160499110757,171.607759370694
47,"daily_living",118.822050779971,174.179864397867
47,"developmental",0,411.135015560685
47,"health",51.1719953633151,169.320612297917
48,"daily_living",120.006423738654,173.938464078586
48,"developmental",0,392.436875381976
48,"health",50.9976895592198,165.967628432888
49,"daily_living",120.766514921251,173.083108570951
49,"developmental",0,376.03985475187
49,"health",53.4060163638257,159.765060583821
50,"daily_living",121.363200442041,171.628851764768
50,"developmental",0,360.581815346889
50,"health",57.6677131322519,151.117367884592
51,"daily_living",122.310930723169,169.970165837315
51,"developmental",0,346.686750782703
51,"health",61.3056643086576,141.631477934472
52,"daily_living",123.330987214694,168.501522965868
52,"developmental",0,334.978654674983
52,"health",64.2750241071235,132.914318332727
53,"daily_living",124.621797618093,167.617395327705
53,"developmental",0,326.0815206394
53,"health",67.2651796405856,126.572816678626
54,"daily_living",126.778344405834,166.539395242262
54,"developmental",0,321.907229330023
54,"health",68.9957778368611,123.168205681536
55,"daily_living",129.426104808185,165.169996289593
55,"developmental",0,321.13141614942
55,"health",70.085952767981,121.281450525422
56,"daily_living",132.340990761109,164.924962537904
56,"developmental",0,319.523706836004
56,"health",72.0091689427083,119.549077521452
57,"daily_living",135.568769659011,165.818565681934
57,"developmental",0,318.085194249438
57,"health",75.3374750394526,119.315232368537
58,"daily_living",139.14388516685,167.1765414306
58,"developmental",0,318.603816342287
58,"health",79.3814988173724,120.826443421834
59,"daily_living",142.825263626422,169.381849873377
59,"developmental",0,318.029466492316
59,"health",83.7225734063539,121.072810976877
60,"daily_living",146.452796562146,173.095803997331
60,"developmental",0,316.528602508527
60,"health",89.6492368032035,119.645261884309
61,"daily_living",150.206498338444,178.230795979249
61,"developmental",0,315.855241794742
61,"health",96.5581934781903,118.090534020406
62,"daily_living",154.355479557106,184.046404693189
62,"developmental",0,315.340617120966
62,"health",101.193026271395,116.332444219155
63,"daily_living",159.700613536477,189.802209013211
63,"developmental",0,314.315961257202
63,"health",103.494196584862,114.29480931454
64,"daily_living",165.09796679312,194.757787813372
64,"developmental",0,312.112506973453
64,"health",104.184381568109,111.901446140547
65,"daily_living",170.173618562347,199.810141025627
65,"developmental",0,308.097195989468
65,"health",101.086817456791,108.496745077782
66,"daily_living",175.358265832087,205.367239930214
66,"developmental",0,302.882750833972
66,"health",95.4590101706002,104.344402610701
67,"daily_living",179.210735630398,209.955120423626
67,"developmental",0,297.669075490433
67,"health",90.3692706968737,100.747194729066
68,"daily_living",171.154111161204,213.57179006266
68,"developmental",0,292.717234856477
68,"health",82.3431425549754,97.4149525775528
69,"daily_living",156.63483087404,216.893605392141
69,"developmental",0,287.603725154918
69,"health",71.9755880324487,93.7880612631938
70,"daily_living",158.246754665375,219.464125790598
70,"developmental",0,282.501597357009
70,"health",68.4390462689017,90.7651277192858
71,"daily_living",182.489154545831,221.922224601976
71,"developmental",0,277.740479991047
71,"health",75.2208493000525,88.8504947388757
72,"daily_living",218.988820241262,224.678298867948
72,"developmental",0,273.324911566466
72,"health",87.6723969359035,87.6757335738242
73,"daily_living",265.030888220982,225
73,"developmental",0,268.940308026217
73,"health",102.762229977489,86.8302938456482
74,"daily_living",341.082976909844,225
74,"developmental",0,264.272085313253
74,"health",126.731467633306,85.9036251758648
75,"daily_living",419.578414597992,225
75,"developmental",0,259.005659370529
75,"health",151.461952113168,84.4851771859909
76,"daily_living",476.771308115432,224.006814449503
76,"developmental",0,253.49764103617
76,"health",168.902937190298,82.8206661427024
77,"daily_living",531.859591392614,220.259645649877
77,"developmental",0,247.846031410171
77,"health",185.484682579478,81.224929008012
78,"daily_living",574.492706347461,214.809426235593
78,"developmental",0,241.348331828289
78,"health",198.358322496049,79.3910964464424
79,"daily_living",594.227219210214,206.964265196528
79,"developmental",0,233.302043626282
79,"health",204.332603294301,77.012299122516
80,"daily_living",610.07288591619,196.032271522558
80,"developmental",0,223.004668139906
80,"health",209.165616961913,73.7816677007554
81,"daily_living",632.25661884577,182.119729326234
81,"developmental",0,210.572262724107
81,"health",216.056542674505,69.7469401155445
82,"daily_living",650.869931400528,165.806300438721
82,"developmental",0,196.602926513845
82,"health",221.907290683806,65.1674468034517
83,"daily_living",669.538951587786,147.110160427816
83,"developmental",0,181.117223514895
83,"health",227.847110269409,60.0537071822766
84,"daily_living",691.042363718219,126.049484861317
84,"developmental",0,164.135717733033
84,"health",234.738259650243,54.4162406698183
85,"daily_living",713.588244242744,102.642449307022
85,"developmental",0,145.678973174035
85,"health",242.021528064512,48.2655666838765
