"geo","gender","provider_status","population"
"state23","female","other",51842.96
"state33","female","other",63401.95
"state50","female","other",21295.84
"state25","female","other",395725.39
"state44","female","other",58294.62
"state09","female","other",204036.5
"state36","female","other",1108136.27
"state34","female","other",651558.77
"state42","female","other",795675.78
"state39","female","other",577574.93
"state18","female","other",250793.18
"state17","female","other",577251.97
"state26","female","other",550407.04
"state55","female","other",229278.05
"state27","female","other",180444.5
"state19","female","other",90265.65
"state29","female","other",273198.35
"state38","female","other",19850.93
"state46","female","other",30165.95
"state31","female","other",53635.95
"state20","female","other",103032.4
"state10","female","other",53128.82
"state24","female","other",364302.13
"state11","female","other",24216.07
"state51","female","other",424295.86
"state54","female","other",81430.64
"state37","female","other",438171.03
"state45","female","other",232738.62
"state13","female","other",480036.97
"state12","female","other",1294642.47
"state21","female","other",175042.13
"state47","female","other",345636.85
"state01","female","other",237666.09
"state28","female","other",146600.32
"state05","female","other",151690.7
"state22","female","other",247822.31
"state40","female","other",167573.03
"state48","female","other",1550260.33
"state30","female","other",29578.97
"state16","female","other",65583.78
"state56","female","other",18140.07
"state08","female","other",248469.85
"state35","female","other",101850.81
"state04","female","other",340757.6
"state49","female","other",129353.37
"state32","female","other",178045.25
"state53","female","other",306321.57
"state41","female","other",163970.7
"state06","female","other",2413965.03
"state02","female","other",24734.15
"state15","female","other",100043.03
"state23","female","with_children",132790.56
"state33","female","with_children",111906.66
"state50","female","with_children",64525.58
"state25","female","with_children",704279.22
"state44","female","with_children",103547.24
"state09","female","with_children",366030.09
"state36","female","with_children",1864359.88
"state34","female","with_children",981160.63
"state42","female","with_children",1180059.47
"state39","female","with_children",1215113.07
"state18","female","with_children",818598.2
"state17","female","with_children",1347207.91
"state26","female","with_children",1006186.02
"state55","female","with_children",653678.8
"state27","female","with_children",613234.52
"state19","female","with_children",332642.26
"state29","female","with_children",652240.1
"state38","female","with_children",93680.21
"state46","female","with_children",89678.33
"state31","female","with_children",227435.22
"state20","female","with_children",313679.37
"state10","female","with_children",106086.84
"state24","female","with_children",598436.13
"state11","female","with_children",47664.42
"state51","female","with_children",924309.22
"state54","female","with_children",172352.07
"state37","female","with_children",1125154.11
"state45","female","with_children",635859.95
"state13","female","with_children",1224633.54
"state12","female","with_children",2051044.61
"state21","female","with_children",450977.96
"state47","female","with_children",770386.01
"state01","female","with_children",520994.31
"state28","female","with_children",288481.45
"state05","female","with_children",324888.14
"state22","female","with_children",484123.96
"state40","female","with_children",416853.4
"state48","female","with_children",3511283.28
"state30","female","with_children",116512.01
"state16","female","with_children",238036.96
"state56","female","with_children",67059.03
"state08","female","with_children",599375.46
"state35","female","with_children",217586.96
"state04","female","with_children",696075.76
"state49","female","with_children",391552.88
"state32","female","with_children",326882.4
"state53","female","with_children",913998.05
"state41","female","with_children",437386.13
"state06","female","with_children",3888548.36
"state02","female","with_children",80380.19
"state15","female","with_children",152217.34
"state23","female","without_children",401675.69
"state33","female","without_children",402489.9
"state50","female","without_children",182567.77
"state25","female","without_children",1763926.14
"state44","female","without_children",290552.78
"state09","female","without_children",900290.81
"state36","female","without_children",4988938.04
"state34","female","without_children",2073809.9
"state42","female","without_children",3244363.17
"state39","female","without_children",2884291.44
"state18","female","without_children",1582186.29
"state17","female","without_children",3036351.49
"state26","female","without_children",2415418.65
"state55","female","without_children",1442976.49
"state27","female","without_children",1427579.9
"state19","female","without_children",808804.18
"state29","female","without_children",1519646.87
"state38","female","without_children",173637.09
"state46","female","without_children",224246.84
"state31","female","without_children",459438.1
"state20","female","without_children",707781
"state10","female","without_children",266371.32
"state24","female","without_children",1509432.49
"state11","female","without_children",223310.58
"state51","female","without_children",2099460.26
"state54","female","without_children",445493.3
"state37","female","without_children",2801083.52
"state45","female","without_children",1336837.49
"state13","female","without_children",2710740.42
"state12","female","without_children",5998158.4
"state21","female","without_children",1162108.73
"state47","female","without_children",1754660.8
"state01","female","without_children",1311147.06
"state28","female","without_children",735307.3
"state05","female","without_children",736075.6
"state22","female","without_children",1071847.81
"state40","female","without_children",987847.14
"state48","female","without_children",6567935.32
"state30","female","without_children",294271.92
"state16","female","without_children",438131.2
"state56","female","without_children",134037.24
"state08","female","without_children",1446028.63
"state35","female","without_children",521733.75
"state04","female","without_children",1895835.46
"state49","female","without_children",711670.9
"state32","female","without_children",735200.55
"state53","female","without_children",1827374.51
"state41","female","without_children",1110036.34
"state06","female","without_children",9095240.77
"state02","female","without_children",151054.12
"state15","female","without_children",312722.92
"state23","male","other",36544.32
"state33","male","other",48921.75
"state50","male","other",12524.91
"state25","male","other",253471.52
"state44","male","other",34611.17
"state09","male","other",155198.4
"state36","male","other",773525.28
"state34","male","other",445114.68
"state42","male","other",523066.36
"state39","male","other",372708.01
"state18","male","other",179802.83
"state17","male","other",465979.77
"state26","male","other",369004.62
"state55","male","other",158544.53
"state27","male","other",161887.81
"state19","male","other",81195.3
"state29","male","other",188194.52
"state38","male","other",20048.72
"state46","male","other",18238.68
"state31","male","other",49556.21
"state20","male","other",83117.4
"state10","male","other",33738.02
"state24","male","other",246189.96
"state11","male","other",11860.83
"state51","male","other",300654.33
"state54","male","other",61395.53
"state37","male","other",337669.14
"state45","male","other",156076.11
"state13","male","other",346920.81
"state12","male","other",967512.06
"state21","male","other",119214.6
"state47","male","other",229703.48
"state01","male","other",165849.7
"state28","male","other",81484.89
"state05","male","other",90958.25
"state22","male","other",158307.56
"state40","male","other",88016.54
"state48","male","other",984576.03
"state30","male","other",23208.66
"state16","male","other",54356.01
"state56","male","other",14683.56
"state08","male","other",180424.54
"state35","male","other",71300.73
"state04","male","other",256835.5
"state49","male","other",109840.44
"state32","male","other",146206.9
"state53","male","other",282198.67
"state41","male","other",141550.15
"state06","male","other",1769596.08
"state02","male","other",22472.23
"state15","male","other",72297.33
"state23","male","with_children",108226.95
"state33","male","with_children",101939.87
"state50","male","with_children",55189.26
"state25","male","with_children",590833.54
"state44","male","with_children",82506.32
"state09","male","with_children",317687.72
"state36","male","with_children",1535868.06
"state34","male","with_children",838940.76
"state42","male","with_children",968196.04
"state39","male","with_children",1038046.38
"state18","male","with_children",686338.49
"state17","male","with_children",1172761.43
"state26","male","with_children",812974.2
"state55","male","with_children",562989.19
"state27","male","with_children",555823.71
"state19","male","with_children",277992.17
"state29","male","with_children",522531.22
"state38","male","with_children",82070.59
"state46","male","with_children",78230.13
"state31","male","with_children",193160.92
"state20","male","with_children",284742.13
"state10","male","with_children",91527.7
"state24","male","with_children",517633.43
"state11","male","with_children",37271.03
"state51","male","with_children",746904.12
"state54","male","with_children",153743.99
"state37","male","with_children",926018.57
"state45","male","with_children",486141.97
"state13","male","with_children",970112.38
"state12","male","with_children",1694164.87
"state21","male","with_children",367943.46
"state47","male","with_children",639817.72
"state01","male","with_children",371801.63
"state28","male","with_children",219240.85
"state05","male","with_children",225701.86
"state22","male","with_children",354866.94
"state40","male","with_children",342783.11
"state48","male","with_children",2850510.39
"state30","male","with_children",101891.78
"state16","male","with_children",216334.91
"state56","male","with_children",59661.19
"state08","male","with_children",542191.71
"state35","male","with_children",166189.94
"state04","male","with_children",565964.52
"state49","male","with_children",348963.96
"state32","male","with_children",248297.28
"state53","male","with_children",800502.63
"state41","male","with_children",384541.47
"state06","male","with_children",3255354.24
"state02","male","with_children",66196.6
"state15","male","with_children",123279.51
"state23","male","without_children",423051.8
"state33","male","without_children",390342.28
"state50","male","without_children",185115.49
"state25","male","without_children",1841401.66
"state44","male","without_children",289730.92
"state09","male","without_children",941600.82
"state36","male","without_children",5041358.88
"state34","male","without_children",2279793.38
"state42","male","without_children",3310330.26
"state39","male","without_children",2891050.63
"state18","male","without_children",1736136.75
"state17","male","without_children",3274043.41
"state26","male","without_children",2659081.21
"state55","male","without_children",1438269.26
"state27","male","without_children",1571084.16
"state19","male","without_children",878502.7
"state29","male","without_children",1564241.48
"state38","male","without_children",208347.38
"state46","male","without_children",235841.98
"state31","male","without_children",497798.06
"state20","male","without_children",721207.65
"state10","male","without_children",266097.65
"state24","male","without_children",1624607.4
"state11","male","without_children",206871.94
"state51","male","without_children",2258834.05
"state54","male","without_children",481710.95
"state37","male","without_children",2822305.25
"state45","male","without_children",1354953.73
"state13","male","without_children",2802520.77
"state12","male","without_children",6240229.75
"state21","male","without_children",1177334.56
"state47","male","without_children",1765008.36
"state01","male","without_children",1289006.56
"state28","male","without_children",764016.83
"state05","male","without_children",796261.71
"state22","male","without_children",1125000.59
"state40","male","without_children",998844.39
"state48","male","without_children",7273701.81
"state30","male","without_children",332022.84
"state16","male","without_children",479565.92
"state56","male","without_children",144103.86
"state08","male","without_children",1667335.01
"state35","male","without_children",547989.85
"state04","male","without_children",1876422.12
"state49","male","without_children",788350.11
"state32","male","without_children",911146.36
"state53","male","without_children",2107365.01
"state41","male","without_children",1176665.76
"state06","male","without_children",9912577.4
"state02","male","without_children",194583.42
"state15","male","without_children",355179.74
"national","female","other",16821935.53
"national","female","with_children",34651174.27
"national","female","without_children",81322128.39
"national","male","other",11956355.43
"national","male","with_children",28742602.84
"national","male","without_children",86118943.86
