"date","sex","race_ethnicity","empstat","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2015-01-01,"Female","American Indian","Employed",28184.9407909496,0.000112862941288912,15269381.1807663,334
2015-01-01,"Female","American Indian","Unemployed",5228.93875404219,0.0000209386073214773,3992856.11938966,798
2015-01-01,"Female","Asian/Pacific Island","Employed",119201.316918575,0.000477326219442053,55822867.4323319,425
2015-01-01,"Female","Asian/Pacific Island","NILF",82766.5765422318,0.000331428025279716,66971005.9905697,830
2015-01-01,"Female","Asian/Pacific Island","Unemployed",10216.1752887885,0.000040909349441884,8208881.65159144,559
2015-01-01,"Female","Black","Employed",312482.178799219,0.0012512943724534,137858055.209947,375
2015-01-01,"Female","Black","NILF",74981.3977950614,0.000300253286316002,52859780.3180793,638
2015-01-01,"Female","Black","Unemployed",112874.118999623,0.000451989775681303,87182382.0834119,755
2015-01-01,"Female","Hispanic","Employed",339952.174383928,0.00136129440835481,192020084.00949,520
2015-01-01,"Female","Hispanic","NILF",290512.630499796,0.00116332016458642,235518579.303677,840
2015-01-01,"Female","Hispanic","Unemployed",80769.3742276258,0.000323430487543258,56107149.3391963,745
2015-01-01,"Female","Two or More Races","Employed",22727.9186987118,0.0000910110038100757,7419193.02040887,362
2015-01-01,"Female","Two or More Races","NILF",11944.8449986049,0.0000478315831770559,6959024.68060365,500
2015-01-01,"Female","Two or More Races","Unemployed",5825.56383677589,0.0000233277151143057,2924433.0460615,502
2015-01-01,"Female","White","Employed",1342428.90124735,0.00537558249243046,783298558.90384,598
2015-01-01,"Female","White","NILF",832398.820472404,0.00333323315811625,601265172.650966,765
2015-01-01,"Female","White","Unemployed",142550.257093518,0.000570824023239788,93135438.6883822,665
2015-01-01,"Male","American Indian","Employed",18962.0797860811,0.0000759311901162248,9293726.1940211,422
2015-01-01,"Male","American Indian","NILF",5118.62188772932,0.0000204968577326385,2542859.59885399,370
2015-01-01,"Male","American Indian","Unemployed",1347.89128975342,0.00000539745591901778,1428764.76713863,1060
2015-01-01,"Male","Asian/Pacific Island","Employed",118787.581639501,0.000475669470156766,52798787.9451276,390
2015-01-01,"Male","Asian/Pacific Island","NILF",8069.04600389918,0.0000323114485905904,5509768.8457557,910
2015-01-01,"Male","Asian/Pacific Island","Unemployed",1302.22171906192,0.00000521457804413147,1037870.71009235,797
2015-01-01,"Male","Black","Employed",234876.847175204,0.000940533883305941,79086236.4941312,263
2015-01-01,"Male","Black","NILF",32937.2820245392,0.000131893075629436,22938145.9280702,790
2015-01-01,"Male","Black","Unemployed",7370.83404792986,0.0000295155493343789,4154641.78397914,560
2015-01-01,"Male","Hispanic","Employed",500915.244184126,0.00200585015290249,192630570.046573,333
2015-01-01,"Male","Hispanic","NILF",80014.7516585671,0.000320408699300428,46717951.4514542,556
2015-01-01,"Male","Hispanic","Unemployed",40613.2683136608,0.000162630567551428,23131745.4355068,678
2015-01-01,"Male","Two or More Races","Employed",10843.5007966838,0.0000434213931070375,7519112.76282239,750
2015-01-01,"Male","White","Employed",1270798.94958869,0.00508874963766093,536310217.817969,351
2015-01-01,"Male","White","NILF",82706.928406994,0.000331189172055391,51928222.1474841,700
2015-01-01,"Male","White","Unemployed",94713.443163326,0.000379267703781932,62509537.0735341,645
2016-01-01,"Female","American Indian","Employed",32400.7423380422,0.000128224648454723,17638941.3077086,393
2016-01-01,"Female","American Indian","Unemployed",5228.93875404219,0.0000206933170398727,3992856.11938966,798
2016-01-01,"Female","Asian/Pacific Island","Employed",96518.6340610279,0.000381968653455029,40352763.0889816,438
2016-01-01,"Female","Asian/Pacific Island","NILF",78935.2307297359,0.000312383034481561,62470774.859817,828
2016-01-01,"Female","Asian/Pacific Island","Unemployed",7367.7308626263,0.0000291575016989673,6616601.21736678,502
2016-01-01,"Female","Black","Employed",347711.242734528,0.00137605340637648,139389852.583873,374
2016-01-01,"Female","Black","NILF",49956.4393514258,0.000197700620777607,34353253.7601338,563
2016-01-01,"Female","Black","Unemployed",142387.789291115,0.000563494009970929,97676824.458016,747
2016-01-01,"Female","Hispanic","Employed",337091.406907644,0.00133402582869502,197271432.61596,550
2016-01-01,"Female","Hispanic","NILF",353602.648733738,0.00139936841117703,282015951.264875,840
2016-01-01,"Female","Hispanic","Unemployed",75418.7171559715,0.000298466571948763,52847307.0465471,745
2016-01-01,"Female","Two or More Races","Employed",36465.4113899419,0.000144310414479061,13627091.6435007,362
2016-01-01,"Female","Two or More Races","NILF",11944.8449986049,0.0000472712487514203,6959024.68060365,500
2016-01-01,"Female","White","Employed",1418053.23423535,0.00561188924478502,826970112.569587,598
2016-01-01,"Female","White","NILF",776843.009081892,0.00307432529492018,554910940.72373,760
2016-01-01,"Female","White","Unemployed",125945.041480409,0.000498422489829186,79204101.10965,667
2016-01-01,"Male","American Indian","Employed",12167.9334852542,0.0000481541125598003,5276599.61489264,426
2016-01-01,"Male","American Indian","NILF",5118.62188772932,0.0000202567424313649,2542859.59885399,370
2016-01-01,"Male","Asian/Pacific Island","Employed",155069.937408384,0.000613683106474383,81157541.4063162,465
2016-01-01,"Male","Asian/Pacific Island","NILF",19026.2551305419,0.0000752956475524694,12425463.308606,585
2016-01-01,"Male","Asian/Pacific Island","Unemployed",5423.9622540537,0.0000214651147804456,2896775.69137364,451
2016-01-01,"Male","Black","Employed",229049.60894487,0.0009064547126491,71329183.1357424,263
2016-01-01,"Male","Black","NILF",28471.709634417,0.000112675657881197,18585816.7363145,674
2016-01-01,"Male","Black","Unemployed",11466.1493441452,0.0000453768297480065,9918219.1826856,865
2016-01-01,"Male","Hispanic","Employed",533097.719421788,0.00210971301063726,212391548.407344,332
2016-01-01,"Male","Hispanic","NILF",62341.6966979167,0.000246714783870113,34971544.553763,556
2016-01-01,"Male","Hispanic","Unemployed",49832.3555322795,0.0001972095640011,28756050.1519713,678
2016-01-01,"Male","Two or More Races","Employed",9561.65456609425,0.00003783986745092,5397657.25119662,175
2016-01-01,"Male","Two or More Races","Unemployed",1429.41280427069,0.00000565684429115962,1130665.52817811,791
2016-01-01,"Male","White","Employed",1307860.77613568,0.00517580697683025,566632160.47596,375
2016-01-01,"Male","White","NILF",85623.5379471255,0.00033885174414134,60734430.1427151,765
2016-01-01,"Male","White","Unemployed",89094.0449031638,0.000352586137315264,53253690.8019954,534
2017-01-01,"Female","American Indian","Employed",30638.9391586647,0.00012019252620008,17480379.0215646,469
2017-01-01,"Female","American Indian","NILF",6979.07458784329,0.0000273779911539283,5269201.31382168,755
2017-01-01,"Female","American Indian","Unemployed",5228.93875404219,0.0000205124385977997,3992856.11938966,798
2017-01-01,"Female","Asian/Pacific Island","Employed",107500.932129395,0.000421712009498257,46230265.7677972,456
2017-01-01,"Female","Asian/Pacific Island","NILF",79762.8016571507,0.000312898974025272,61444930.8316111,810
2017-01-01,"Female","Asian/Pacific Island","Unemployed",4710.17136870247,0.000018477382415492,2364506.02708864,502
2017-01-01,"Female","Black","Employed",385155.132168895,0.00151091289664361,166153842.626281,396
2017-01-01,"Female","Black","NILF",66306.1758233885,0.00026011040178674,49917880.1385047,813
2017-01-01,"Female","Black","Unemployed",146001.861821373,0.000572746089913601,103435502.080166,750
2017-01-01,"Female","Hispanic","Employed",356725.440622277,0.00139938695808608,203772408.03352,527
2017-01-01,"Female","Hispanic","NILF",384515.611075928,0.0015084041395576,300075787.070248,840
2017-01-01,"Female","Hispanic","Unemployed",82476.4636066652,0.000323544312732207,58870930.3760585,780
2017-01-01,"Female","Two or More Races","Employed",29753.2391360669,0.000116718041570563,10943203.3766237,362
2017-01-01,"Female","Two or More Races","NILF",13877.767319549,0.0000544406548645731,9062868.70286859,500
2017-01-01,"Female","White","Employed",1432274.02969717,0.00561862252960507,841464567.998896,600
2017-01-01,"Female","White","NILF",814501.649097143,0.00319518278006149,596710041.871304,774
2017-01-01,"Female","White","Unemployed",134680.621179214,0.000528334352762598,95416082.9613153,757
2017-01-01,"Male","American Indian","Employed",7537.83364135069,0.0000295699293875087,3314153.66721035,452
2017-01-01,"Male","American Indian","NILF",5118.62188772932,0.0000200796800490798,2542859.59885399,370
2017-01-01,"Male","Asian/Pacific Island","Employed",145135.711339142,0.000569348295558202,78142659.292198,685
2017-01-01,"Male","Asian/Pacific Island","NILF",16989.5184441058,0.0000666476450162096,12405095.9417416,585
2017-01-01,"Male","Asian/Pacific Island","Unemployed",5423.9622540537,0.0000212774901230297,2896775.69137364,451
2017-01-01,"Male","Black","Employed",256769.667378001,0.00100727361394262,86005603.9025849,263
2017-01-01,"Male","Black","NILF",10881.6299635616,0.00004268720231213,4634324.75795644,626
2017-01-01,"Male","Black","Unemployed",11466.1493441452,0.0000449801949187417,9918219.1826856,865
2017-01-01,"Male","Hispanic","Employed",538777.615182656,0.0021135536806125,196491505.467171,290
2017-01-01,"Male","Hispanic","NILF",64001.9423679584,0.00025107119718084,38329213.9373009,647
2017-01-01,"Male","Hispanic","Unemployed",33937.7844550082,0.00013313346216583,18802901.6636353,335
2017-01-01,"Male","Two or More Races","Employed",6878.45045937589,0.0000269832559402009,2231476.40526896,175
2017-01-01,"Male","Two or More Races","NILF",3201.66230036548,0.000012559699861921,1152598.42813157,360
2017-01-01,"Male","Two or More Races","Unemployed",3629.41618586575,0.0000142377220618391,1438666.00160142,140
2017-01-01,"Male","White","Employed",1404246.82108461,0.00550867547863061,609227826.853033,370
2017-01-01,"Male","White","NILF",89304.087906606,0.000350328184337725,67107650.342693,779
2017-01-01,"Male","White","Unemployed",93362.2935499343,0.000366247991012007,55725804.6331503,657
2018-01-01,"Female","American Indian","Employed",31440.4777125699,0.000122178463081792,21190186.8987123,840
2018-01-01,"Female","American Indian","NILF",6979.07458784329,0.0000271208540363551,5269201.31382168,755
2018-01-01,"Female","American Indian","Unemployed",2098.02731670356,0.00000815298531408685,1674225.79872944,798
2018-01-01,"Female","Asian/Pacific Island","Employed",107791.441081268,0.000418880168586483,61880917.090992,488
2018-01-01,"Female","Asian/Pacific Island","NILF",64419.6325007852,0.000250336262800902,45463674.789672,655
2018-01-01,"Female","Asian/Pacific Island","Unemployed",11493.6163291644,0.0000446644733323395,7791261.99545817,800
2018-01-01,"Female","Black","Employed",399755.806467604,0.00155346081216531,186029342.505613,430
2018-01-01,"Female","Black","NILF",76772.3858412778,0.00029833936350972,54058583.1937882,845
2018-01-01,"Female","Black","Unemployed",110000.460424504,0.000427464471622266,78902799.4571481,747
2018-01-01,"Female","Hispanic","Employed",450380.346869763,0.00175018901067118,275258109.170913,615
2018-01-01,"Female","Hispanic","NILF",397099.356596822,0.00154313778318868,311009113.038075,835
2018-01-01,"Female","Hispanic","Unemployed",61874.9664547984,0.000240447628493326,43938018.5771398,825
2018-01-01,"Female","Two or More Races","Employed",37684.0827693978,0.000146441264585853,14321742.7644227,362
2018-01-01,"Female","Two or More Races","NILF",6322.25041498466,0.000024568419283662,5285110.2505864,910
2018-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.0000376309483440918,7911552.20541028,817
2018-01-01,"Female","White","Employed",1432541.40736743,0.00556689084222168,851557221.239637,592
2018-01-01,"Female","White","NILF",763309.760326775,0.00296624034229515,575468557.835619,810
2018-01-01,"Female","White","Unemployed",162698.701453049,0.000632251121330435,110291742.494795,735
2018-01-01,"Male","American Indian","Employed",2765.86550540548,0.0000107482208009289,1250171.20844328,452
2018-01-01,"Male","American Indian","NILF",1787.79476692603,0.00000694741406048561,1310453.56415678,733
2018-01-01,"Male","Asian/Pacific Island","Employed",163605.518837816,0.000635775035800806,66105484.962942,340
2018-01-01,"Male","Asian/Pacific Island","NILF",12917.2628668121,0.0000501967984939246,8934549.81522467,585
2018-01-01,"Male","Asian/Pacific Island","Unemployed",9414.20023032822,0.0000365838116647286,4225524.93747306,451
2018-01-01,"Male","Black","Employed",261261.297808553,0.00101526777426291,97410845.8568278,357
2018-01-01,"Male","Black","NILF",10881.6299635616,0.0000422862793920336,4634324.75795644,626
2018-01-01,"Male","Black","Unemployed",14489.7979669753,0.0000563077082401626,12276665.1084931,865
2018-01-01,"Male","Hispanic","Employed",459359.020357917,0.0017850803547953,161824661.418568,240
2018-01-01,"Male","Hispanic","NILF",55504.3086210066,0.000215691096799742,35992942.3828132,655
2018-01-01,"Male","Hispanic","Unemployed",18411.6027785562,0.0000715479373730092,10135156.1507417,335
2018-01-01,"Male","Two or More Races","Employed",5864.59929884493,0.0000227899758863066,1365003.58833109,6
2018-01-01,"Male","Two or More Races","NILF",3201.66230036548,0.000012441737773252,1152598.42813157,360
2018-01-01,"Male","Two or More Races","Unemployed",3629.41618586575,0.0000141039998032845,1438666.00160142,140
2018-01-01,"Male","White","Employed",1468283.59093787,0.00570578583916625,670688461.825929,390
2018-01-01,"Male","White","NILF",93439.8651082367,0.000363109594385395,68077571.3047056,779
2018-01-01,"Male","White","Unemployed",77113.2886797507,0.000299664120253101,43023244.0824628,534
2019-01-01,"Female","American Indian","Employed",24369.1633531014,0.0000938764924968991,19588603.9282897,840
2019-01-01,"Female","American Indian","NILF",6979.07458784329,0.0000268852497596143,5269201.31382168,755
2019-01-01,"Female","Asian/Pacific Island","Employed",110077.717130848,0.000424048615727086,62977654.9637709,468
2019-01-01,"Female","Asian/Pacific Island","NILF",50001.5119510115,0.00019261911020451,38933445.252083,790
2019-01-01,"Female","Asian/Pacific Island","Unemployed",11493.6163291644,0.0000442764641302189,7791261.99545817,800
2019-01-01,"Female","Black","Employed",440917.221348505,0.00169853029510793,219188666.025463,436
2019-01-01,"Female","Black","NILF",75888.9058087699,0.000292344230022497,49876045.6780946,845
2019-01-01,"Female","Black","Unemployed",101335.971436616,0.000390373088496894,71271629.4549747,747
2019-01-01,"Female","Hispanic","Employed",462878.850048862,0.00178313232440354,287653759.327783,626
2019-01-01,"Female","Hispanic","NILF",349825.974295276,0.00134762260711636,267888516.52023,820
2019-01-01,"Female","Hispanic","Unemployed",32121.2944550362,0.000123739761361776,22974607.8366511,870
2019-01-01,"Female","Two or More Races","Employed",28031.4318813534,0.000107984523988687,12191588.8793549,426
2019-01-01,"Female","Two or More Races","NILF",6322.25041498466,0.0000243549885174983,5285110.2505864,910
2019-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.000037304040778578,7911552.20541028,817
2019-01-01,"Female","White","Employed",1488714.20658367,0.00573492269797572,870886325.263387,562
2019-01-01,"Female","White","NILF",688717.0053145,0.0026531209071511,504163903.569653,770
2019-01-01,"Female","White","Unemployed",150989.444360111,0.000581651459888096,102365804.634605,735
2019-01-01,"Male","American Indian","NILF",1787.79476692603,0.00000688706048671004,1310453.56415678,733
2019-01-01,"Male","Asian/Pacific Island","Employed",162096.828188164,0.000624440053796133,67588712.1574845,360
2019-01-01,"Male","Asian/Pacific Island","NILF",12917.2628668121,0.0000497607288779748,8934549.81522467,585
2019-01-01,"Male","Asian/Pacific Island","Unemployed",8111.9785112663,0.0000312494967026015,3187654.22738071,451
2019-01-01,"Male","Black","Employed",244039.538632374,0.000940105147863158,104129445.852848,400
2019-01-01,"Male","Black","NILF",24157.3931962701,0.000093060697582204,15501186.1994907,639
2019-01-01,"Male","Black","Unemployed",21594.2287265523,0.0000831867069727086,18379371.1309697,865
2019-01-01,"Male","Hispanic","Employed",453753.248112261,0.00174797808093125,157864438.311076,220
2019-01-01,"Male","Hispanic","NILF",32071.7231458592,0.000123548799506968,24580219.0282191,655
2019-01-01,"Male","Hispanic","Unemployed",23267.9281367129,0.0000896342418282705,14360159.212338,335
2019-01-01,"Male","Two or More Races","Employed",5745.16934000055,0.0000221319188773601,1550644.04530135,6
2019-01-01,"Male","Two or More Races","NILF",3201.66230036548,0.0000123336539118243,1152598.42813157,360
2019-01-01,"Male","Two or More Races","Unemployed",7706.4398516411,0.0000296872540278786,2722928.45632065,315
2019-01-01,"Male","White","Employed",1448000.34059557,0.00557808206789045,650593852.788008,375
2019-01-01,"Male","White","NILF",114029.59341222,0.000439272293237117,90025121.2556412,785
2019-01-01,"Male","White","Unemployed",80537.9987296153,0.000310253771288943,41124320.3867369,539
2021-01-01,"Female","American Indian","Employed",34085.0859121479,0.000130240538916448,21413917.4097877,815
2021-01-01,"Female","American Indian","NILF",6979.07458784329,0.0000266673359076043,5269201.31382168,755
2021-01-01,"Female","Asian/Pacific Island","Employed",115265.572259975,0.000440434572714443,68569463.9985233,525
2021-01-01,"Female","Asian/Pacific Island","NILF",32663.5359187452,0.000124808736933768,23446520.3612494,655
2021-01-01,"Female","Asian/Pacific Island","Unemployed",6783.44496046192,0.0000259198269189562,5426755.96836953,800
2021-01-01,"Female","Black","Employed",408765.29689906,0.00156190929650853,215986137.554065,497
2021-01-01,"Female","Black","NILF",75949.8643778882,0.000290207608474354,50928467.4510944,845
2021-01-01,"Female","Black","Unemployed",64994.8577109359,0.00024834806979475,41785727.4726486,400
2021-01-01,"Female","Hispanic","Employed",422970.169722402,0.00161618670970091,245341620.071208,515
2021-01-01,"Female","Hispanic","NILF",327018.244223379,0.00124955038907454,241111109.880845,795
2021-01-01,"Female","Hispanic","Unemployed",27666.5502211584,0.000105715045578877,21393173.6336245,870
2021-01-01,"Female","Two or More Races","Employed",39426.8712524038,0.000150651724127601,18952050.3543099,479
2021-01-01,"Female","Two or More Races","NILF",3432.42106096932,0.0000131154244387422,3123503.16548208,910
2021-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.0000370016791753092,7911552.20541028,817
2021-01-01,"Female","White","Employed",1365241.25117251,0.00521664392344403,835475985.678298,627
2021-01-01,"Female","White","NILF",608336.816540281,0.00232448042035549,462270873.500891,790
2021-01-01,"Female","White","Unemployed",141580.501390008,0.000540985017571095,92721066.9049695,725
2021-01-01,"Male","American Indian","Employed",5013.60916189973,0.0000191572103073251,4537316.29151925,905
2021-01-01,"Male","Asian/Pacific Island","Employed",177092.055094238,0.000676676149584671,83569707.0090398,390
2021-01-01,"Male","Asian/Pacific Island","NILF",15701.3330495688,0.0000599954503078913,11259248.4178265,585
2021-01-01,"Male","Asian/Pacific Island","Unemployed",8111.9785112663,0.0000309962091839537,3187654.22738071,451
2021-01-01,"Male","Black","Employed",222005.423798056,0.000848292009952904,96918177.1430835,400
2021-01-01,"Male","Black","NILF",26760.0455443753,0.000102251253293336,17713440.6953801,639
2021-01-01,"Male","Black","Unemployed",21594.2287265523,0.0000825124511664754,18379371.1309697,865
2021-01-01,"Male","Hispanic","Employed",428451.89549231,0.00163713261314693,179054841.836241,359
2021-01-01,"Male","Hispanic","NILF",26256.8399111573,0.000100328483521682,18729413.0589178,655
2021-01-01,"Male","Hispanic","Unemployed",23267.9281367129,0.0000889077266170139,14360159.212338,335
2021-01-01,"Male","Two or More Races","Employed",20030.6523672773,0.000076537960499388,12807798.7954409,870
2021-01-01,"Male","Two or More Races","NILF",3201.66230036548,0.0000122336855627365,1152598.42813157,360
2021-01-01,"Male","Two or More Races","Unemployed",7706.4398516411,0.0000294466290034263,2722928.45632065,315
2021-01-01,"Male","White","Employed",1353248.24247354,0.00517081813558451,619364467.294814,375
2021-01-01,"Male","White","NILF",147914.29214191,0.000565186696951863,122546659.536795,845
2021-01-01,"Male","White","Unemployed",87448.6141321934,0.000334144812233384,46777203.7860458,575
2022-01-01,"Female","American Indian","Employed",29869.2843650553,0.000113273542772888,19044357.2828454,815
2022-01-01,"Female","American Indian","NILF",9448.74291243781,0.000035832548626247,7652431.24705539,755
2022-01-01,"Female","Asian/Pacific Island","Employed",118082.493524578,0.000447805250956527,67394305.3665621,547
2022-01-01,"Female","Asian/Pacific Island","NILF",38879.6125360334,0.000147443487422352,29943110.7132729,845
2022-01-01,"Female","Asian/Pacific Island","Unemployed",6783.44496046192,0.0000257249163885346,5426755.96836953,800
2022-01-01,"Female","Black","Employed",346444.909216685,0.00131382599472375,194984462.702533,624
2022-01-01,"Female","Black","NILF",75715.5349659529,0.000287136671361696,51645954.9340593,845
2022-01-01,"Female","Black","Unemployed",25581.7266607753,0.0000970138009902832,25127559.5709566,1050
2022-01-01,"Female","Hispanic","Employed",412480.337923889,0.00156425271626056,235046735.502479,515
2022-01-01,"Female","Hispanic","NILF",320198.986786861,0.00121429335843312,235589731.356837,795
2022-01-01,"Female","Hispanic","Unemployed",22116.8330004208,0.0000838738551033022,16696473.4917541,870
2022-01-01,"Female","Two or More Races","Employed",29118.9503708559,0.000110428044743972,16617450.8404095,505
2022-01-01,"Female","Two or More Races","NILF",3432.42106096932,0.0000130167997703733,3123503.16548208,910
2022-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.0000367234359240291,7911552.20541028,817
2022-01-01,"Female","White","Employed",1152303.1858236,0.00436988923509092,722015667.550863,633
2022-01-01,"Female","White","NILF",562978.906886758,0.00213498972757704,435460073.728718,790
2022-01-01,"Female","White","Unemployed",120273.100229115,0.000456112707513312,77917903.8724408,715
2022-01-01,"Male","American Indian","Employed",5013.60916189973,0.0000190131529401956,4537316.29151925,905
2022-01-01,"Male","American Indian","NILF",9916.2736902674,0.000037605569596983,2379905.68566418,240
2022-01-01,"Male","Asian/Pacific Island","Employed",145651.91779019,0.000552357014587941,65378354.040654,371
2022-01-01,"Male","Asian/Pacific Island","NILF",4744.12392292603,0.0000179911817616942,4343553.95497625,835
2022-01-01,"Male","Asian/Pacific Island","Unemployed",3990.23797627452,0.00001513221363309,1328749.24609942,333
2022-01-01,"Male","Black","Employed",244147.728598553,0.000925883521021556,114927408.763867,400
2022-01-01,"Male","Black","NILF",34018.0074324268,0.000129006780773547,17281395.9393423,639
2022-01-01,"Male","Black","Unemployed",10128.0793824071,0.0000384088021363002,8461151.94828414,859
2022-01-01,"Male","Hispanic","Employed",405954.374788891,0.00153950425040272,179562204.009275,376
2022-01-01,"Male","Hispanic","NILF",53700.5953713408,0.00020364922749343,28440291.5908861,420
2022-01-01,"Male","Hispanic","Unemployed",4856.32535815671,0.0000184166842249421,4225003.06159634,870
2022-01-01,"Male","Two or More Races","Employed",20030.6523672773,0.0000759624144309298,12807798.7954409,870
2022-01-01,"Male","Two or More Races","NILF",3201.66230036548,0.0000121416913472851,1152598.42813157,360
2022-01-01,"Male","Two or More Races","Unemployed",6277.02704737041,0.0000238044234018784,1592262.92814254,315
2022-01-01,"Male","White","Employed",1252298.19127872,0.00474910115021625,589880861.092828,386
2022-01-01,"Male","White","NILF",146133.288661283,0.000554182521462827,124229958.914661,867
2022-01-01,"Male","White","Unemployed",71691.8859954581,0.000271877752929233,36714442.8454215,657
2023-01-01,"Female","American Indian","Employed",29869.2843650553,0.000112240687686836,19044357.2828454,815
2023-01-01,"Female","American Indian","NILF",2469.66832459452,0.00000928034524440044,2383229.93323371,965
2023-01-01,"Female","Asian/Pacific Island","Employed",111003.744348382,0.000417122032426475,72001857.5218754,740
2023-01-01,"Female","Asian/Pacific Island","NILF",53625.2184117151,0.000201509059217012,44103441.8883277,846
2023-01-01,"Female","Asian/Pacific Island","Unemployed",6783.44496046192,0.0000254903504865621,5426755.96836953,800
2023-01-01,"Female","Black","Employed",353086.098704723,0.00132680200994855,184910098.230567,510
2023-01-01,"Female","Black","NILF",67484.7206485293,0.000253589318089139,48327949.9126787,882
2023-01-01,"Female","Black","Unemployed",11107.0373644411,0.0000417372407290329,10630533.8101735,1050
2023-01-01,"Female","Hispanic","Employed",479271.421291668,0.00180097230509341,278364422.247141,540
2023-01-01,"Female","Hispanic","NILF",257605.715514102,0.000968012567960592,192274469.505159,795
2023-01-01,"Female","Hispanic","Unemployed",9446.2526263074,0.0000354964611097525,6893236.14679186,1115
2023-01-01,"Female","Two or More Races","Employed",45787.1827271436,0.000172055842173101,26394691.4113071,586
2023-01-01,"Female","Two or More Races","NILF",9945.55082989863,0.00003737268864326,8354262.69711485,840
2023-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.0000363885829067851,7911552.20541028,817
2023-01-01,"Female","White","Employed",1114593.76614403,0.00418834175183073,685535538.238828,625
2023-01-01,"Female","White","NILF",484032.933514459,0.00181886477950905,367331529.155376,765
2023-01-01,"Female","White","Unemployed",82787.2379368318,0.000311092037029007,51679411.0412569,692
2023-01-01,"Male","American Indian","Employed",5013.60916189973,0.0000188397864926084,4537316.29151925,905
2023-01-01,"Male","American Indian","NILF",9916.2736902674,0.000037262673075242,2379905.68566418,240
2023-01-01,"Male","Asian/Pacific Island","Employed",141955.991499863,0.00053343220120305,77563256.4245196,390
2023-01-01,"Male","Asian/Pacific Island","NILF",4744.12392292603,0.0000178271338902164,4343553.95497625,835
2023-01-01,"Male","Asian/Pacific Island","Unemployed",3990.23797627452,0.0000149942345125332,1328749.24609942,333
2023-01-01,"Male","Black","Employed",277588.880681538,0.00104310389499542,120797056.373366,345
2023-01-01,"Male","Black","NILF",40310.8362956855,0.000151477214243289,21120021.5459301,639
2023-01-01,"Male","Black","Unemployed",10128.0793824071,0.000038058581549352,8461151.94828414,859
2023-01-01,"Male","Hispanic","Employed",402614.98361438,0.00151291815637775,183430311.041728,390
2023-01-01,"Male","Hispanic","NILF",77177.9833417912,0.000290013976186865,45404728.3878432,680
2023-01-01,"Male","Hispanic","Unemployed",4856.32535815671,0.0000182487565208702,4225003.06159634,870
2023-01-01,"Male","Two or More Races","Employed",27382.4059589551,0.000102895671613375,16593951.895155,571
2023-01-01,"Male","Two or More Races","Unemployed",4077.02366577534,0.0000153203516485147,1284262.45471923,315
2023-01-01,"Male","White","Employed",1219035.19113582,0.00458080436395098,594341211.087768,430
2023-01-01,"Male","White","NILF",145893.799888507,0.00054822941951329,112160445.680828,845
2023-01-01,"Male","White","Unemployed",58081.7533787512,0.00021825551163573,26734342.2763705,539
